,latitude,longitude,cities,countrycode,kmeans_label,db_label
61,27.33643,-82.53065,Sarasota,US,0,0
62,0.05621,32.479490000000006,Entebbe,UG,2,4
65,34.8662,-92.11015,Jacksonville,US,0,0
66,22.54554,114.0683,Shenzhen,CN,1,1
67,10.488010000000001,-66.87919000000001,Caracas,VE,3,0
68,14.6488,121.0509,Quezon City,PH,1,1
69,-33.86785,151.20731999999998,Sydney,AU,1,3
71,18.51957,73.85535,Pune,IN,1,1
72,21.0245,105.84116999999999,Hanoi,VN,1,1
74,38.99067,-77.02609,Silver Spring,US,0,0
75,28.65195,77.23149000000001,Delhi,IN,1,1
77,17.49952,-88.19756,Belize City,BZ,0,0
78,-22.90556,-47.060829999999996,Campinas,BR,3,0
79,13.710239999999999,-89.13989000000001,Soyapango,SV,0,0
80,41.89193,12.511330000000001,Rome,IT,2,2
81,37.566,126.9784,Seoul,KR,1,1
83,19.42847,-99.12765999999999,Mexico City,MX,0,0
84,51.387640000000005,0.50546,Rochester,GB,2,2
85,31.75872,-106.48693,El Paso,US,0,0
87,-6.21462,106.84513000000001,Jakarta,ID,1,1
89,40.76078,-111.89105,Salt Lake City,US,0,0
90,-33.59473,-71.60746,San Antonio,CL,3,0
91,0.31628,32.582190000000004,Kampala,UG,2,4
92,-23.38032,150.50595,Rockhampton,AU,1,3
93,14.0818,-87.20681,Tegucigalpa,HN,0,0
94,-19.92083,-43.93778,Belo Horizonte,BR,3,0
95,-37.814,144.96331999999998,Melbourne,AU,1,3
96,32.46098,-84.98770999999999,Columbus,US,0,0
97,25.04776,121.53185,Taipei,TW,1,1
98,27.83975,-82.79120999999999,Seminole,US,0,0
99,14.625779999999999,121.12251,Antipolo,PH,1,1
100,14.458960000000001,120.93851000000001,Bacoor,PH,1,1
101,27.638640000000002,-80.39726999999999,Vero Beach,US,0,0
102,14.211670000000002,121.16528000000001,Calamba,PH,1,1
103,26.0112,-80.14949,Hollywood,US,0,0
104,3.1072599999999997,101.60670999999999,Petaling Jaya,MY,1,1
105,-26.202270000000002,28.04363,Johannesburg,ZA,2,4
106,-34.61315,-58.377230000000004,Buenos Aires,AR,3,0
107,23.116670000000003,113.25,Guangzhou,CN,1,1
108,25.81954,-80.35533000000001,Doral,US,0,0
109,35.6895,139.69171,Tokyo,JP,1,1
110,32.2949,-64.78303000000001,Hamilton,BM,0,0
111,32.08354,-81.09983000000001,Savannah,US,0,0
112,17.38405,78.45636,Hyderabad,IN,1,1
113,52.48141999999999,-1.89983,Birmingham,GB,2,2
114,7.08971,171.38027,Majuro,MH,1,-1
117,38.84622,-77.30637,Fairfax,US,0,0
118,41.38879,2.15899,Barcelona,ES,2,2
119,16.0009,120.4023,Santa Barbara,PH,1,1
120,30.07994,-95.41716,Spring,US,0,0
121,4.1419999999999995,-73.62664000000001,Villavicencio,CO,3,0
122,-8.08965,-78.9602,Laredo,PE,3,0
123,28.635759999999998,77.22445,New Delhi,IN,1,1
124,5.9749,116.0724,Kota Kinabalu,MY,1,1
125,34.27834,-119.29316999999999,Ventura,US,0,0
126,25.05823,-77.34306,Nassau,BS,0,0
127,1.4655,103.7578,Johor Bahru,MY,1,1
128,12.24507,109.19431999999999,Nha Trang,VN,1,1
129,39.127109999999995,-84.51439,Cincinnati,US,0,0
130,-0.24849000000000002,35.73194,Molo,KE,2,4
131,22.27832,114.17468999999998,Hong Kong,HK,1,1
132,-4.1279,120.0297,Sengkang,ID,1,1
133,35.227090000000004,-80.84313,Charlotte,US,0,0
134,13.7567,121.0584,Batangas,PH,1,1
135,-26.202270000000002,28.04363,Johannesburg,ZA,2,4
136,10.66667,122.95,Bacolod City,PH,1,1
137,11.97444,-86.09416999999999,Masaya,NI,0,0
138,39.80172,-89.64371,Springfield,US,0,0
140,26.93422,-80.09421,Jupiter,US,0,0
141,25.754820000000002,-80.32727,Westchester,US,0,0
142,9.05785,7.495080000000001,Abuja,NG,2,5
143,33.50169,-117.66255,San Juan Capistrano,US,0,0
144,47.659659999999995,-117.42908,Spokane,US,0,0
145,-32.035,-52.09861,Rio Grande,BR,3,0
146,-25.29167,-49.22417,Colombo,BR,3,0
147,38.25424,-85.75941,Louisville,US,0,0
148,30.44332,-91.18746999999999,Baton Rouge,US,0,0
149,43.77925,11.246260000000001,Florence,IT,2,2
150,30.42131,-87.21691,Pensacola,US,0,0
151,27.80058,-97.39638000000001,Corpus Christi,US,0,0
152,32.74255,-117.03142,Lemon Grove,US,0,0
153,45.33341,-79.21632,Huntsville,CA,0,0
154,37.98376,23.72784,Athens,GR,2,4
155,30.15946,-85.65983,Panama City,US,0,0
157,40.6501,-73.94958000000001,Brooklyn,US,0,0
158,33.119209999999995,-117.08641999999999,Escondido,US,0,0
159,42.39593,-71.17867,Belmont,US,0,0
160,-19.86528,-47.44,Sacramento,BR,3,0
161,19.18095,-96.1429,Veracruz,MX,0,0
162,39.75895,-84.19161,Dayton,US,0,0
163,44.22976,-76.48098,Kingston,CA,0,0
164,29.651629999999997,-82.32483,Gainesville,US,0,0
165,-34.90328,-56.188159999999996,Montevideo,UY,3,0
166,42.33143,-83.04575,Detroit,US,0,0
169,1.28967,103.85007,Singapore,SG,1,1
170,39.183609999999994,-96.57167,Manhattan,US,0,0
171,4.39928,113.99163,Miri,MY,1,1
172,43.048120000000004,-76.14742,Syracuse,US,0,0
173,35.7721,-78.63861,Raleigh,US,0,0
174,-36.84853,174.76349,Auckland,NZ,1,-1
175,32.52515,-93.75018,Shreveport,US,0,0
176,42.44063,-76.49661,Ithaca,US,0,0
177,48.58392,7.7455300000000005,Strasbourg,FR,2,2
178,5.15264,-75.03624,Fresno,CO,3,0
179,46.87215,-113.994,Missoula,US,0,0
180,-23.960829999999998,-46.33361,Santos,BR,3,0
181,47.642179999999996,6.85385,Belfort,FR,2,2
182,0.39241,9.453560000000001,Libreville,GA,2,5
183,32.221740000000004,-110.92648,Tucson,US,0,0
